Date/Time,type,signal
8/17/2023 14:00,Exit Short,0
8/15/2023 12:00,Entry Short,2
8/15/2023 12:00,Exit Long,0
8/14/2023 6:00,Entry Long,1
8/14/2023 6:00,Exit Short,0
8/14/2023 0:00,Entry Short,2
8/14/2023 0:00,Exit Long,0
8/13/2023 18:00,Entry Long,1
8/13/2023 18:00,Exit Short,0
8/11/2023 16:00,Entry Short,2
8/11/2023 16:00,Exit Long,0
8/11/2023 14:00,Entry Long,1
8/11/2023 14:00,Exit Short,0
8/9/2023 14:00,Entry Short,2
8/9/2023 14:00,Exit Long,0
8/7/2023 20:00,Entry Long,1
8/7/2023 20:00,Exit Short,0
8/7/2023 14:00,Entry Short,2
8/7/2023 14:00,Exit Long,0
8/6/2023 20:00,Entry Long,1
8/6/2023 20:00,Exit Short,0
8/2/2023 16:00,Entry Short,2
8/2/2023 16:00,Exit Long,0
8/1/2023 18:00,Entry Long,1
8/1/2023 18:00,Exit Short,0
7/31/2023 18:00,Entry Short,2
7/31/2023 18:00,Exit Long,0
7/31/2023 0:00,Entry Long,1
7/31/2023 0:00,Exit Short,0
7/30/2023 10:00,Entry Short,2
7/30/2023 10:00,Exit Long,0
7/28/2023 14:00,Entry Long,1
7/28/2023 14:00,Exit Short,0
7/27/2023 16:00,Entry Short,2
7/27/2023 16:00,Exit Long,0
7/26/2023 2:00,Entry Long,1
7/26/2023 2:00,Exit Short,0
7/24/2023 2:00,Entry Short,2
7/24/2023 2:00,Exit Long,0
7/23/2023 4:00,Entry Long,1
7/23/2023 4:00,Exit Short,0
7/20/2023 14:00,Entry Short,2
7/20/2023 14:00,Exit Long,0
7/19/2023 0:00,Entry Long,1
7/19/2023 0:00,Exit Short,0
7/14/2023 16:00,Entry Short,2
7/14/2023 16:00,Exit Long,0
7/13/2023 14:00,Entry Long,1
7/13/2023 14:00,Exit Short,0
7/12/2023 18:00,Entry Short,2
7/12/2023 18:00,Exit Long,0
7/12/2023 12:00,Entry Long,1
7/12/2023 12:00,Exit Short,0
7/11/2023 12:00,Entry Short,2
7/11/2023 12:00,Exit Long,0
7/9/2023 0:00,Entry Long,1
7/9/2023 0:00,Exit Short,0
7/6/2023 14:00,Entry Short,2
7/6/2023 14:00,Exit Long,0
7/6/2023 6:00,Entry Long,1
7/6/2023 6:00,Exit Short,0
7/4/2023 16:00,Entry Short,2
7/4/2023 16:00,Exit Long,0
7/2/2023 14:00,Entry Long,1
7/2/2023 14:00,Exit Short,0
6/30/2023 12:00,Entry Short,2
6/30/2023 12:00,Exit Long,0
6/29/2023 10:00,Entry Long,1
6/29/2023 10:00,Exit Short,0
6/28/2023 8:00,Entry Short,2
6/20/2023 18:00,Exit Long,0
6/19/2023 16:00,Entry Long,1
6/19/2023 16:00,Exit Short,0
6/18/2023 20:00,Entry Short,2
6/18/2023 20:00,Exit Long,0
6/15/2023 20:00,Entry Long,1
6/15/2023 20:00,Exit Short,0
6/13/2023 14:00,Entry Short,2
6/13/2023 14:00,Exit Long,0
6/11/2023 20:00,Entry Long,1
6/5/2023 16:00,Exit Short,0
6/5/2023 0:00,Entry Short,2
6/5/2023 0:00,Exit Long,0
6/4/2023 12:00,Entry Long,1
6/4/2023 12:00,Exit Short,0
6/3/2023 22:00,Entry Short,2
5/28/2023 20:00,Exit Long,0
5/25/2023 18:00,Entry Long,1
5/25/2023 18:00,Exit Short,0
5/24/2023 2:00,Entry Short,2
5/24/2023 2:00,Exit Long,0
5/22/2023 14:00,Entry Long,1
5/22/2023 14:00,Exit Short,0
5/21/2023 22:00,Entry Short,2
5/8/2023 16:00,Exit Short,0
5/6/2023 12:00,Entry Short,2
5/6/2023 12:00,Exit Long,0
5/5/2023 18:00,Entry Long,1
4/26/2023 8:00,Exit Long,0
4/25/2023 16:00,Entry Long,1
4/25/2023 16:00,Exit Short,0
4/24/2023 8:00,Entry Short,2
4/20/2023 18:00,Exit Short,0
4/19/2023 8:00,Entry Short,2
4/19/2023 8:00,Exit Long,0
4/18/2023 8:00,Entry Long,1
4/18/2023 8:00,Exit Short,0
4/17/2023 0:00,Entry Short,2
4/17/2023 0:00,Exit Long,0
4/16/2023 18:00,Entry Long,1
4/16/2023 18:00,Exit Short,0
4/14/2023 14:00,Entry Short,2
4/14/2023 14:00,Exit Long,0
4/13/2023 10:00,Entry Long,1
4/10/2023 22:00,Exit Long,0
4/9/2023 18:00,Entry Long,1
4/9/2023 18:00,Exit Short,0
4/9/2023 8:00,Entry Short,2
4/9/2023 8:00,Exit Long,0
4/8/2023 4:00,Entry Long,1
4/8/2023 4:00,Exit Short,0
4/6/2023 2:00,Entry Short,2
4/6/2023 2:00,Exit Long,0
4/4/2023 10:00,Entry Long,1
4/4/2023 10:00,Exit Short,0
4/3/2023 20:00,Entry Short,2
4/3/2023 20:00,Exit Long,0
4/3/2023 10:00,Entry Long,1
3/30/2023 2:00,Exit Long,0
3/29/2023 6:00,Entry Long,1
3/29/2023 6:00,Exit Short,0
3/27/2023 14:00,Entry Short,2
3/27/2023 14:00,Exit Long,0
3/26/2023 12:00,Entry Long,1
3/26/2023 12:00,Exit Short,0
3/24/2023 20:00,Entry Short,2
3/24/2023 20:00,Exit Long,0
3/23/2023 14:00,Entry Long,1
3/23/2023 14:00,Exit Short,0
3/22/2023 20:00,Entry Short,2
3/3/2023 0:00,Exit Short,0
3/2/2023 8:00,Entry Short,2
3/2/2023 8:00,Exit Long,0
3/1/2023 4:00,Entry Long,1
3/1/2023 4:00,Exit Short,0
2/28/2023 20:00,Entry Short,2
2/28/2023 20:00,Exit Long,0
2/28/2023 18:00,Entry Long,1
2/28/2023 18:00,Exit Short,0
2/27/2023 16:00,Entry Short,2
2/27/2023 16:00,Exit Long,0
2/26/2023 4:00,Entry Long,1
2/26/2023 4:00,Exit Short,0
2/23/2023 10:00,Entry Short,2
2/23/2023 10:00,Exit Long,0
2/23/2023 2:00,Entry Long,1
2/23/2023 2:00,Exit Short,0
2/21/2023 16:00,Entry Short,2
2/9/2023 20:00,Exit Short,0
2/8/2023 14:00,Entry Short,2
2/8/2023 14:00,Exit Long,0
2/7/2023 16:00,Entry Long,1
2/7/2023 16:00,Exit Short,0
2/6/2023 22:00,Entry Short,2
2/6/2023 22:00,Exit Long,0
2/6/2023 14:00,Entry Long,1
2/6/2023 14:00,Exit Short,0
2/3/2023 0:00,Entry Short,2
2/3/2023 0:00,Exit Long,0
2/1/2023 20:00,Entry Long,1
2/1/2023 20:00,Exit Short,0
2/1/2023 18:00,Entry Short,2
2/1/2023 18:00,Exit Long,0
1/31/2023 14:00,Entry Long,1
1/31/2023 14:00,Exit Short,0
1/30/2023 8:00,Entry Short,2
1/30/2023 8:00,Exit Long,0
1/29/2023 0:00,Entry Long,1
1/29/2023 0:00,Exit Short,0
1/27/2023 2:00,Entry Short,2
1/20/2023 20:00,Exit Long,0
1/20/2023 2:00,Entry Long,1
1/20/2023 2:00,Exit Short,0
1/18/2023 14:00,Entry Short,2
1/18/2023 14:00,Exit Long,0
1/16/2023 20:00,Entry Long,1
1/12/2023 0:00,Exit Long,0
1/10/2023 14:00,Entry Long,1
1/10/2023 14:00,Exit Short,0
1/9/2023 22:00,Entry Short,2
1/9/2023 22:00,Exit Long,0
1/8/2023 22:00,Entry Long,1
1/8/2023 22:00,Exit Short,0
1/8/2023 12:00,Entry Short,2
1/8/2023 12:00,Exit Long,0
1/6/2023 16:00,Entry Long,1
1/6/2023 16:00,Exit Short,0
1/5/2023 8:00,Entry Short,2
