,0
Start,2021-01-01 05:00:00+00:00
End,2023-04-25 04:59:59+00:00
Duration,843 days 23:59:59
Exposure Time [%],3.3229578072768224
Equity Final [$],184100508.7003895
Equity Peak [$],184100508.7003895
Return [%],84.10050870038951
Buy & Hold Return [%],-6.195350492636966
Return (Ann.) [%],30.164096466007017
Volatility (Ann.) [%],16.695620128006674
Sharpe Ratio,1.8067071624016624
Sortino Ratio,2.7874225535875907
Calmar Ratio,2.5212533838384763
Max. Drawdown [%],-11.963928996332672
Avg. Drawdown [%],-0.13851248324115192
Max. Drawdown Duration,104 days 13:04:04
Avg. Drawdown Duration,0 days 04:35:56
# Trades,374
Win Rate [%],84.49197860962568
Best Trade [%],1.536480460002021
Worst Trade [%],-4.6205146877796865
Avg. Trade [%],0.1302646864499879
Max. Trade Duration,1 days 22:00:00
Avg. Trade Duration,0 days 04:33:02
Profit Factor,1.6506884880664348
Expectancy [%],0.13356952066029973
SQN,4.78985082131615
_strategy,pos_manager
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
datetime                                                             
2021-01-01 05:00:00+00:00  1.000000e+08          0.0              NaT
2021-01-01 05:00:01+00:00  1.000000e+08          0.0              NaT
2021-01-01 05:00:02+00:00  1.000000e+08          0.0              NaT
2021-01-01 05:00:03+00:00  1.000000e+08          0.0              NaT
2021-01-01 05:00:04+00:00  1.000000e+08          0.0              NaT
...                                 ...          ...              ...
2023-04-25 04:59:55+00:00  1.841005e+08          0.0              NaT
2023-04-25 04:59:56+00:00  1.841005e+08          0.0              NaT
2023-04-25 04:59:57+00:00  1.841005e+08          0.0              NaT
2023-04-25 04:59:58+00:00  1.841005e+08          0.0              NaT
2023-04-25 04:59:59+00:00  1.841005e+08          0.0              NaT

[72857350 rows x 3 columns]"
_trades,"     Size  EntryBar   ExitBar    EntryPrice  ExitPrice            PnL  ReturnPct                 EntryTime                  ExitTime        Duration
0   -3328   1630800   1630946  36057.159206   35941.52  384847.277568   0.003207 2021-01-20 02:00:00+00:00 2021-01-20 02:02:26+00:00 0 days 00:02:26
1    3276   3800455   3800478  49014.304092   49161.84  483327.634608   0.003010 2021-02-14 06:00:00+00:00 2021-02-14 06:00:23+00:00 0 days 00:00:23
2   -2524   3872455   3873260  47944.273914   47797.26  371063.118936   0.003066 2021-02-15 02:00:00+00:00 2021-02-15 02:13:24+00:00 0 days 00:13:24
3    3347   3958856   3960099  48386.957034   48533.99  492119.337202   0.003039 2021-02-16 02:00:00+00:00 2021-02-16 02:20:42+00:00 0 days 00:20:42
4    2884   5991057   5991091  56437.281732   56624.34  539476.044912   0.003314 2021-03-11 16:00:00+00:00 2021-03-11 16:00:34+00:00 0 days 00:00:34
..    ...       ...       ...           ...        ...            ...        ...                       ...                       ...             ...
369  9487  72126546  72130122  30342.420000   30444.79  971184.190000   0.003374 2023-04-16 18:00:00+00:00 2023-04-16 18:59:35+00:00 0 days 00:59:35
370 -7173  72148147  72149902  30260.036556   30160.43  714477.826188   0.003292 2023-04-17 00:00:00+00:00 2023-04-17 00:29:14+00:00 0 days 00:29:14
371  9745  72263348  72269301  29817.305868   29910.00  903304.316340   0.003109 2023-04-18 08:00:00+00:00 2023-04-18 09:39:12+00:00 0 days 01:39:12
372 -7291  72349749  72350321  30035.651136   29909.33  921007.402576   0.004206 2023-04-19 08:00:00+00:00 2023-04-19 08:09:31+00:00 0 days 00:09:31
373 -8029  72781750  72783855  27413.537242   27330.52  666545.436018   0.003028 2023-04-24 08:00:00+00:00 2023-04-24 08:35:05+00:00 0 days 00:35:05

[374 rows x 10 columns]"
