,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration
0,-3328,1630800,1630946,36057.159206000004,35941.52,384847.27756802365,0.003207108062488917,2021-01-20 02:00:00+00:00,2021-01-20 02:02:26+00:00,0 days 00:02:26
1,3276,3800455,3800478,49014.304092000006,49161.84,483327.63460796967,0.003010058201031729,2021-02-14 06:00:00+00:00,2021-02-14 06:00:23+00:00,0 days 00:00:23
2,-2524,3872455,3873260,47944.273914,47797.26,371063.1189359888,0.0030663497848294474,2021-02-15 02:00:00+00:00,2021-02-15 02:13:24+00:00,0 days 00:13:24
3,3347,3958856,3960099,48386.957034,48533.99,492119.3372019961,0.00303869007296087,2021-02-16 02:00:00+00:00,2021-02-16 02:20:42+00:00,0 days 00:20:42
4,2884,5991057,5991091,56437.281732,56624.34,539476.044911981,0.0033144450310038653,2021-03-11 16:00:00+00:00,2021-03-11 16:00:34+00:00,0 days 00:00:34
5,-2175,6063057,6065145,56419.00266,56248.93,369908.03549999563,0.00301445704428549,2021-03-12 12:00:00+00:00,2021-03-12 12:34:47+00:00,0 days 00:34:47
6,2859,6135058,6135311,57429.368712,57611.62,521056.4323919985,0.003173485832901335,2021-03-13 08:00:00+00:00,2021-03-13 08:04:12+00:00,0 days 00:04:12
7,835,6693347,6697401,58791.112488,59099.99,257912.72251999925,0.005253813015752007,2021-03-19 19:04:48+00:00,2021-03-19 20:12:22+00:00,0 days 01:07:34
8,2800,6689459,6697401,58947.981798,59099.99,425622.9655999923,0.002578683737144649,2021-03-19 18:00:00+00:00,2021-03-19 20:12:22+00:00,0 days 02:12:22
9,-2145,6804659,6805288,58092.526442,57900.0,412969.2180900046,0.003314134429877491,2021-03-21 02:00:00+00:00,2021-03-21 02:10:28+00:00,0 days 00:10:28
10,859,6916260,6920325,57290.664798000005,57748.15,392979.7885179967,0.007985335893954781,2021-03-22 08:59:59+00:00,2021-03-22 10:07:44+00:00,0 days 01:07:45
11,2893,6912660,6920325,57658.28875200001,57748.15,259968.59046398205,0.001558513961219088,2021-03-22 08:00:00+00:00,2021-03-22 10:07:44+00:00,0 days 02:07:44
12,-2208,6948661,6950582,56992.878108000004,56820.19,381295.34246400464,0.0030299945139243833,2021-03-22 18:00:00+00:00,2021-03-22 18:32:00+00:00,0 days 00:32:00
13,-2173,7985462,7985600,58124.980942,57942.93,395596.6969660036,0.00313206024414292,2021-04-03 18:00:00+00:00,2021-04-03 18:02:18+00:00,0 days 00:02:18
14,2915,8064662,8069747,57997.242624000006,58174.99,518133.6010399769,0.0030647556324761016,2021-04-04 16:00:00+00:00,2021-04-04 17:24:44+00:00,0 days 01:24:44
15,-2184,8230263,8230401,58332.509994,58155.03,387616.30689600256,0.0030425571266906593,2021-04-06 14:00:00+00:00,2021-04-06 14:02:17+00:00,0 days 00:02:17
16,2994,8374264,8374846,56952.231654,57146.51,581669.3679239975,0.0034112508036610034,2021-04-08 06:00:00+00:00,2021-04-08 06:09:41+00:00,0 days 00:09:41
17,-2204,8532665,8532667,58333.199028,58414.98,-180245.26228800105,-0.0014019627478469854,2021-04-10 02:00:00+00:00,2021-04-10 02:00:00+00:00,0 days 00:00:00
18,-2158,8597468,8599568,59483.546284000004,59300.01,396071.3008720035,0.0030854966703518505,2021-04-10 20:00:00+00:00,2021-04-10 20:35:00+00:00,0 days 00:35:00
19,2849,8719868,8722327,60291.299814000005,60476.99,529031.3399139787,0.0030798836079641845,2021-04-12 06:00:00+00:00,2021-04-12 06:40:58+00:00,0 days 00:40:58
20,407,9167693,9180669,61787.64176400001,61024.76,-310492.87794800213,-0.012346834127670014,2021-04-17 10:23:44+00:00,2021-04-17 14:00:00+00:00,0 days 03:36:16
21,518,9164093,9180669,61960.152942,61024.76,-484533.54395599925,-0.015096685491974293,2021-04-17 09:23:44+00:00,2021-04-17 14:00:00+00:00,0 days 04:36:16
22,654,9152301,9180669,62131.472454,61024.76,-723789.9449160002,-0.017812429197125,2021-04-17 06:07:12+00:00,2021-04-17 14:00:00+00:00,0 days 07:52:48
23,824,9148269,9180669,62296.673412000004,61024.76,-1048056.6514880015,-0.020417035811658546,2021-04-17 05:00:00+00:00,2021-04-17 14:00:00+00:00,0 days 09:00:00
24,2763,9144669,9180669,62481.692076,61024.76,-4025503.325987993,-0.023317743607645047,2021-04-17 04:00:00+00:00,2021-04-17 14:00:00+00:00,0 days 10:00:00
25,-2263,9553270,9553605,53712.317332000006,53543.36,382350.4423160122,0.0031455975164070837,2021-04-22 00:00:00+00:00,2021-04-22 00:05:35+00:00,0 days 00:05:35
