,0
Start,2019-09-01 00:00:00+00:00
End,2020-12-31 23:59:59+00:00
Duration,487 days 23:59:59
Exposure Time [%],3.6289530428542225
Equity Final [$],175615449.96035904
Equity Peak [$],175615449.96035904
Return [%],75.61544996035904
Buy & Hold Return [%],201.68156979891467
Return (Ann.) [%],52.377515255113074
Volatility (Ann.) [%],13.507656633945523
Sharpe Ratio,3.877616723206107
Sortino Ratio,10.145462638096708
Calmar Ratio,6.8647059477917365
Max. Drawdown [%],-7.629972158088149
Avg. Drawdown [%],-0.1084146385355241
Max. Drawdown Duration,39 days 01:59:43
Avg. Drawdown Duration,0 days 01:48:50
# Trades,201
Win Rate [%],86.56716417910447
Best Trade [%],2.108242524870585
Worst Trade [%],-1.2374443578812677
Avg. Trade [%],0.30730989913791973
Max. Trade Duration,1 days 22:02:57
Avg. Trade Duration,0 days 05:37:08
Profit Factor,5.922503693090264
Expectancy [%],0.30816792831790957
SQN,11.248586639639765
_strategy,pos_manager
_equity_curve,"                                 Equity  DrawdownPct DrawdownDuration
datetime                                                             
2019-09-01 00:00:00+00:00  1.000000e+08          0.0              NaT
2019-09-01 00:00:01+00:00  1.000000e+08          0.0              NaT
2019-09-01 00:00:02+00:00  1.000000e+08          0.0              NaT
2019-09-01 00:00:03+00:00  1.000000e+08          0.0              NaT
2019-09-01 00:00:04+00:00  1.000000e+08          0.0              NaT
...                                 ...          ...              ...
2020-12-31 23:59:55+00:00  1.756154e+08          0.0              NaT
2020-12-31 23:59:56+00:00  1.756154e+08          0.0              NaT
2020-12-31 23:59:57+00:00  1.756154e+08          0.0              NaT
2020-12-31 23:59:58+00:00  1.756154e+08          0.0              NaT
2020-12-31 23:59:59+00:00  1.756154e+08          0.0              NaT

[42070977 rows x 3 columns]"
_trades,"      Size  EntryBar   ExitBar    EntryPrice  ExitPrice            PnL  ReturnPct                 EntryTime                  ExitTime        Duration
0   -11527    496800    497290  10410.105420   10378.58  363393.516340   0.003028 2019-09-06 18:00:00+00:00 2019-09-06 18:08:10+00:00 0 days 00:08:10
1    15212    619200    619562  10556.157960   10590.00  514805.112480   0.003206 2019-09-08 04:00:00+00:00 2019-09-08 04:06:01+00:00 0 days 00:06:01
2   -11760    712801    716285  10292.959654   10261.62  368554.331040   0.003045 2019-09-09 06:00:00+00:00 2019-09-09 06:58:03+00:00 0 days 00:58:03
3    16057    936002    937777  10088.564244   10120.00  504763.934092   0.003116 2019-09-11 20:00:00+00:00 2019-09-11 20:29:34+00:00 0 days 00:29:34
4   -11878   1094403   1098430  10279.518498   10240.00  469400.719244   0.003844 2019-09-13 16:00:00+00:00 2019-09-13 17:07:06+00:00 0 days 01:07:06
..     ...       ...       ...           ...        ...            ...        ...                       ...                       ...             ...
196   6246  36423929  36428398  13128.404070   13196.50  425327.178780   0.005187 2020-10-27 09:09:55+00:00 2020-10-27 10:24:24+00:00 0 days 01:14:29
197  20926  36419733  36428398  13164.244176   13196.50  674985.373024   0.002450 2020-10-27 08:00:00+00:00 2020-10-27 10:24:24+00:00 0 days 02:24:24
198 -11070  39749734  39752837  18782.178086   18722.99  655212.112020   0.003151 2020-12-04 22:00:00+00:00 2020-12-04 22:51:43+00:00 0 days 00:51:43
199  14512  39843334  39843529  19175.267844   19239.99  939247.927872   0.003375 2020-12-06 00:00:00+00:00 2020-12-06 00:03:14+00:00 0 days 00:03:14
200 -10967  39994535  39995652  19133.176000   19064.96  748124.872000   0.003565 2020-12-07 18:00:00+00:00 2020-12-07 18:18:36+00:00 0 days 00:18:36

[201 rows x 10 columns]"
